Date, Open, High, Low, Close, Volume
06/10/24, 6225, 6225, 6100, 6175, 4207500
06/07/24, 6200, 6250, 6150, 6200, 3728000
06/06/24, 6175, 6200, 6125, 6200, 5444400
06/05/24, 6150, 6200, 6100, 6125, 5444300
06/04/24, 6050, 6150, 6025, 6100, 6440500
06/03/24, 5900, 6050, 5900, 6050, 11655600
05/31/24, 6075, 6100, 5875, 5875, 30407000
05/30/24, 6125, 6125, 6025, 6050, 9246200
05/29/24, 6100, 6125, 6050, 6125, 8131100
05/28/24, 6125, 6175, 6075, 6125, 5510700
05/27/24, 6150, 6175, 6025, 6125, 9550900
05/22/24, 6150, 6175, 6100, 6150, 3596200
05/21/24, 6225, 6225, 6100, 6150, 9409200
05/20/24, 6150, 6250, 6150, 6225, 6498900
05/17/24, 6150, 6200, 6100, 6150, 6993300
05/16/24, 6100, 6175, 6100, 6150, 8487800
05/15/24, 6150, 6175, 6050, 6100, 7161400
05/14/24, 6125, 6175, 6075, 6175, 7383800
05/13/24, 6175, 6175, 6025, 6100, 10170800
05/08/24, 6175, 6200, 6100, 6200, 6840500
05/07/24, 6225, 6250, 6150, 6150, 4465300
05/06/24, 6275, 6275, 6150, 6225, 5501200
05/03/24, 6250, 6250, 6125, 6225, 3441000
05/02/24, 6250, 6275, 6150, 6225, 9811900
04/30/24, 6200, 6300, 6125, 6250, 8890900
04/29/24, 6075, 6175, 6050, 6175, 5155300
04/26/24, 6200, 6200, 6050, 6050, 5110600
04/25/24, 6075, 6200, 6050, 6200, 7265800
04/24/24, 6050, 6100, 6025, 6050, 5024200
04/23/24, 6150, 6150, 6025, 6025, 7502600
04/22/24, 6100, 6150, 6025, 6150, 8102700
04/19/24, 6100, 6100, 6025, 6100, 10631200
04/18/24, 6050, 6125, 6050, 6125, 11611100
04/17/24, 6175, 6200, 6050, 6050, 12128500
04/16/24, 6300, 6375, 6125, 6150, 31099400
04/05/24, 6500, 6575, 6500, 6500, 6930600
04/04/24, 6550, 6550, 6475, 6500, 4955800
04/03/24, 6600, 6600, 6525, 6550, 10251600
04/02/24, 6425, 6600, 6400, 6600, 12799100
04/01/24, 6400, 6425, 6325, 6425, 9236200
03/28/24, 6325, 6375, 6325, 6375, 6138100
03/27/24, 6350, 6375, 6275, 6325, 9153300
03/26/24, 6400, 6400, 6225, 6375, 14396800
03/25/24, 6425, 6500, 6425, 6450, 5631900
03/22/24, 6450, 6475, 6400, 6425, 5517800
03/21/24, 6475, 6525, 6425, 6450, 7929300
03/20/24, 6450, 6475, 6425, 6475, 5278100
03/19/24, 6450, 6475, 6375, 6425, 9572300
03/18/24, 6450, 6500, 6400, 6450, 5242800
03/15/24, 6425, 6500, 6375, 6425, 21189100
03/14/24, 6325, 6425, 6300, 6425, 9245200
03/13/24, 6350, 6425, 6300, 6300, 13159000
03/08/24, 6375, 6400, 6325, 6350, 11796000
03/07/24, 6475, 6500, 6350, 6350, 11093000
03/06/24, 6500, 6550, 6475, 6500, 4956200
03/05/24, 6575, 6575, 6475, 6500, 6990600
03/04/24, 6675, 6675, 6550, 6550, 5809200
03/01/24, 6550, 6675, 6550, 6675, 6023600
02/29/24, 6625, 6650, 6525, 6625, 10813200
02/28/24, 6575, 6625, 6550, 6625, 2696900
02/27/24, 6600, 6600, 6525, 6575, 5456800
02/26/24, 6675, 6700, 6550, 6625, 9078900
02/23/24, 6750, 6750, 6625, 6725, 8713200
02/22/24, 6600, 6725, 6575, 6725, 9489900
02/21/24, 6550, 6600, 6500, 6600, 10332900
02/20/24, 6475, 6575, 6475, 6550, 5677400
02/19/24, 6450, 6575, 6425, 6475, 8429500
02/16/24, 6400, 6475, 6400, 6425, 5762300
02/15/24, 6425, 6475, 6375, 6400, 12271900
02/13/24, 6400, 6450, 6350, 6350, 5485300
02/12/24, 6350, 6450, 6350, 6400, 7077000
02/07/24, 6375, 6450, 6325, 6350, 10416800
02/06/24, 6325, 6400, 6300, 6350, 9445700
02/05/24, 6400, 6425, 6300, 6300, 9865400
02/02/24, 6350, 6400, 6350, 6400, 7356800
02/01/24, 6350, 6450, 6350, 6350, 10866600
01/31/24, 6375, 6425, 6375, 6375, 9544700
01/30/24, 6400, 6425, 6375, 6400, 4531600
01/29/24, 6425, 6425, 6375, 6425, 6407200
01/26/24, 6400, 6450, 6375, 6425, 5164900
01/25/24, 6450, 6475, 6400, 6400, 6866400
01/24/24, 6400, 6450, 6375, 6450, 4089900
01/23/24, 6425, 6425, 6350, 6400, 7874600
01/22/24, 6450, 6475, 6400, 6425, 7346000
01/19/24, 6400, 6475, 6350, 6450, 7319600
01/18/24, 6375, 6400, 6325, 6375, 6634800
01/17/24, 6450, 6450, 6350, 6400, 7956300
01/16/24, 6475, 6525, 6425, 6450, 9762800
01/15/24, 6400, 6500, 6400, 6450, 6603000
01/12/24, 6350, 6400, 6350, 6375, 5482500
01/11/24, 6400, 6425, 6350, 6350, 5133800
01/10/24, 6375, 6450, 6350, 6350, 8212600
01/09/24, 6400, 6425, 6350, 6375, 7189600
01/08/24, 6450, 6500, 6400, 6400, 5581500
01/05/24, 6475, 6550, 6450, 6450, 8987300
01/04/24, 6425, 6500, 6400, 6450, 5153500
01/03/24, 6450, 6475, 6400, 6400, 4723600
01/02/24, 6450, 6475, 6375, 6450, 5426000
12/29/23, 6475, 6475, 6400, 6450, 4935900
12/28/23, 6350, 6500, 6350, 6450, 8530100
12/27/23, 6275, 6400, 6275, 6350, 4026800
12/22/23, 6300, 6350, 6275, 6275, 6712600
12/21/23, 6300, 6325, 6250, 6275, 5786000
12/20/23, 6325, 6350, 6275, 6275, 5902400
12/19/23, 6275, 6350, 6250, 6325, 3536700
12/18/23, 6325, 6375, 6250, 6275, 14586700
12/15/23, 6350, 6375, 6325, 6325, 11985300
12/14/23, 6400, 6450, 6375, 6400, 4691300
12/13/23, 6400, 6425, 6350, 6400, 3848400
12/12/23, 6375, 6425, 6350, 6425, 3053800
12/11/23, 6400, 6400, 6325, 6375, 4425400
12/08/23, 6400, 6425, 6325, 6400, 7280800
12/07/23, 6500, 6500, 6400, 6450, 5407500
12/06/23, 6450, 6625, 6425, 6500, 10236700
12/05/23, 6375, 6475, 6350, 6475, 7961900
12/04/23, 6350, 6400, 6325, 6350, 6680200
12/01/23, 6425, 6425, 6300, 6325, 10269200
11/30/23, 6375, 6425, 6275, 6425, 27474900
11/29/23, 6400, 6450, 6375, 6425, 4533600
11/28/23, 6400, 6450, 6375, 6375, 5766500
11/27/23, 6425, 6500, 6400, 6400, 5362700
11/24/23, 6350, 6425, 6350, 6425, 2140600
11/23/23, 6375, 6425, 6325, 6350, 4273200
11/22/23, 6425, 6425, 6350, 6350, 5321400
11/21/23, 6425, 6450, 6350, 6425, 4177300
11/20/23, 6450, 6475, 6400, 6400, 3202300
11/17/23, 6450, 6450, 6350, 6425, 4205400
11/16/23, 6450, 6475, 6350, 6450, 5838200
11/15/23, 6425, 6475, 6425, 6425, 4640400
11/14/23, 6450, 6500, 6375, 6375, 4049000
11/13/23, 6350, 6450, 6325, 6450, 6176400
11/10/23, 6325, 6375, 6300, 6325, 4843800
11/09/23, 6350, 6400, 6300, 6325, 4705100
